bj-pays,das,decks,don,hitSplitAces,peek,reSplitAces,sas,ss17,surr,csm_theoretical,csm_empiric,cut_theoretical,cut_empiric,csm_error,cut_card_error,abs_error_sum
1.5,True,2,10-11,False,False,True,4,True,2-10,0.4218,-0.2526,0.4848,-0.3327,0.1692,0.1521,0.32130000000000003
1.2,True,2,9-11,True,False,False,3,True,2-10,1.5809,-1.4107,1.6439,-1.4928,0.1702,0.1511,0.32130000000000003
1.5,True,2,Any,False,False,False,2,True,2-10,0.2875,-0.123,0.3505,-0.1939,0.1645,0.1566,0.3211
1.5,False,2,10-11,False,False,False,3,True,2-10,0.5949,-0.4279,0.6579,-0.5042,0.167,0.1537,0.3207
1.5,True,2,9-11,False,False,True,2,True,2-10,0.3988,-0.2309,0.4618,-0.309,0.1678,0.1527,0.3205
1.5,True,2,10-11,False,False,False,3,True,2-10,0.4773,-0.3094,0.5403,-0.3877,0.1679,0.1526,0.3205
1.2,True,2,10-11,False,False,True,4,True,2-10,1.7953,-1.6302,1.8583,-1.7033,0.1652,0.155,0.32020000000000004
1.5,True,2,9-11,False,False,True,4,True,2-10,0.3061,-0.14,0.3691,-0.215,0.1661,0.1541,0.3202
1.5,False,2,9-11,False,False,True,2,True,2-10,0.5158,-0.3498,0.5788,-0.4252,0.166,0.1536,0.3196
1.2,False,2,Any,False,False,False,4,True,2-10,1.7587,-1.5967,1.8217,-1.6641,0.1619,0.1576,0.3195
1.2,True,2,Any,False,False,False,3,True,2-10,1.6231,-1.4593,1.6861,-1.5305,0.1638,0.1556,0.3194
1.5,False,2,10-11,False,False,True,2,True,2-10,0.6178,-0.4514,0.6808,-0.5281,0.1664,0.1527,0.3191
1.5,True,2,9-11,True,False,False,4,True,2-10,0.202,-0.0377,0.265,-0.1106,0.1643,0.1544,0.3187
1.2,False,2,Any,True,False,True,2,True,2-10,1.6303,-1.4683,1.6933,-1.5368,0.162,0.1566,0.3186
1.5,False,2,Any,True,False,False,4,True,2-10,0.2307,-0.066,0.2937,-0.1405,0.1647,0.1532,0.3179
1.2,False,2,9-11,True,False,False,4,True,2-10,1.7087,-1.5453,1.7717,-1.6173,0.1634,0.1544,0.31779999999999997
1.5,False,2,Any,False,False,False,2,True,2-10,0.4113,-0.2413,0.4743,-0.3267,0.17,0.1477,0.3177
1.5,False,2,10-11,True,False,True,4,True,2-10,0.3951,-0.2331,0.4581,-0.3026,0.162,0.1555,0.3175
1.2,True,2,10-11,True,False,True,4,True,2-10,1.6491,-1.4892,1.7122,-1.555,0.16,0.1572,0.31720000000000004
1.2,False,2,10-11,True,False,True,3,True,2-10,1.7769,-1.6116,1.8399,-1.6881,0.1654,0.1518,0.3172
1.2,True,2,Any,True,False,False,2,True,2-10,1.4985,-1.3348,1.5615,-1.4082,0.1637,0.1533,0.317
