blackjack_payout,decks,count,policy,count_normalization,initial_count,initial_count_per_deck,count_minimum,count_maximum,factor,bias,continuous_betting_count,spread_edge,spread_stddev,kelly_growth_at_1,kelly_growth_stddev_at_1,empirical_optimum_multiplier,empirical_optimum_growth,mean_total_wager_fraction,max_total_wager_fraction,mean_abs_fx,max_abs_fx,result_file
"1.5","2","omega2","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0403304201,7.123451198837069,0.9999104820490926,2.4872839921034418e-05,0.5,1.0000347967065883,0.011183757502224532,0.9430183999999999,0.010388039191384526,0.9430183999999998,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/omega2_d2/basic/results.json"
"1.5","2","omega2","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0554009417,7.361423052918971,0.9999561050493727,2.6377397302931875e-05,0.5,1.0000678282856448,0.01169338087711785,0.9881764129032258,0.010859541117523217,0.9881764129032259,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/omega2_d2/full_deviations/results.json"
"1.5","2","zen","basic","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0426726161,7.137378154348669,0.9999256886792637,2.5160040908998523e-05,0.5,1.0000430531260815,0.011205577263820245,0.9653144727272727,0.01042980168426198,0.9653144727272723,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/zen_d2/basic/results.json"
"1.5","2","zen","full_deviations","true_count",0,0,-5,5,0.005,-0.0045688,true,0.0572224161,7.383187184038338,0.9999690900617274,2.698849849866002e-05,0.5,1.0000751949441429,0.011746843389264265,0.9985845714285716,0.010927213785284091,0.9985845714285715,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/zen_d2/full_deviations/results.json"
"1.5","6","hilo","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0116881741,5.518394638382321,1.0000103344874953,6.013246097835772e-06,0.75,1.0000114379817984,0.0021291150376728917,0.3853474506172839,0.001977647573206727,0.3853474506172841,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hilo_d6/basic/results.json"
"1.5","6","hilo","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0159092823,5.643252317693757,1.000015152997952,6.556815748586234e-06,0.8500000000000001,1.0000157840283403,0.002207387581809553,0.4665248550561799,0.0020506148114146456,0.46652485505617997,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/hilo_d6/full_deviations/results.json"
"1.5","6","halves","basic","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0125356528,5.624173631880078,1.0000106581705284,6.472583673044702e-06,0.65,1.0000123252848534,0.0023199467795373047,0.42040001111111114,0.002154474321938296,0.36754266666666663,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/halves_d6/basic/results.json"
"1.5","6","halves","full_deviations","true_count",0,0,-5,5,0.005,-0.0063873,true,0.0173740756,5.745367502170675,1.0000169108849626,7.042573820491107e-06,0.75,1.0000176362482114,0.0024010431896251943,0.42040001111111114,0.0022303463970270707,0.4174137629629628,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/halves_d6/full_deviations/results.json"
"1.5","6","ko","basic","running_count",0,0,-20,30,0.005,-0.0063873,true,-0.0313634366,10.134566534859127,0.9860345383849085,0.10872304618689684,0.5,0.9995279219848225,0.04625665798445904,1.4252888999999997,0.04294911921429363,1.2852888999999998,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/ko_d6/basic/results.json"
"1.5","6","ko","full_deviations","running_count",0,0,-20,30,0.005,-0.0063873,true,-0.0276492476,10.161599106029461,0.9650135270915073,0.17835874995757728,0.5,0.9995233552791948,0.04684712990043792,1.4289015999999999,0.043516756413238655,1.3552889,"paper_materials/performance-suites/h17c03_5b_named_counts_continuous/bj3-2/ko_d6/full_deviations/results.json"
